UUID,LINK,MODEL,CATEGORY,BRAND
9db2a85a-996e-4910-80ce-b2563ca72892,https://www.zappos.com//p/stuart-weitzman-beatrix-midnight-suede/product/9091184/color/13031,Beatrix,Heels,Stuart Weitzman
476b6b3e-cac5-48ca-a7b2-c3b06ffb9159,https://www.zappos.com//p/matisse-alia-black/product/9080106/color/3,Alia,Heels,Matisse
dc76f1c3-0b93-4a96-a97b-3ff13928b82f,https://www.zappos.com//p/seavees-legend-sneaker-cordies-golden-brown/product/9100249/color/66261,Legend Sneaker Cordies,Sneakers & Athletic Shoes,SeaVees
23b12e04-9313-4173-84b4-c97b683e8630,https://www.zappos.com//p/aetrex-kylie-taupe-snake/product/8917246/color/20025,Kylie,Loafers,Aetrex
0ffc51b7-a73f-4135-add5-e2745d99baeb,https://www.zappos.com//p/kamik-heidi-yellow/product/7443522/color/764,Heidi,Boots,Kamik
afd264cb-1274-431c-b247-4d346e8aed97,https://www.zappos.com//p/nike-air-zoom-prestige-black-white/product/9012996/color/151,Air Zoom Prestige,Sneakers & Athletic Shoes,Nike
27fbe35f-657f-45c2-9d31-1b3db6dd566f,https://www.zappos.com//p/skechers-performance-go-walk-4-viability-black/product/9172019/color/3,Go Walk 4 - Viability,Sneakers & Athletic Shoes,SKECHERS Performance
e39e448c-e07a-411b-8713-d2e17e430579,https://www.zappos.com//p/steve-madden-daisie-s-burgundy/product/9115028/color/7,Daisie-S,Heels,Steve Madden
da76fe1a-fccd-4f0c-87ff-980be3f863dc,https://www.zappos.com//p/ariat-heritage-stockman-sassy-brown/product/9032563/color/247984,Heritage Stockman,Boots,Ariat
1d825e32-5ee5-4fd4-99a7-290717b63c48,https://www.zappos.com//p/keen-gypsum-ii-mid-waterproof-coffee-bean-bronze-mist/product/8714971/color/630027,Gypsum II Mid Waterproof,Boots,Keen
8a1b45ee-0beb-43ed-bc6c-f9ec5d56198e,https://www.zappos.com//p/calvin-klein-marinda-red-rock-patent/product/9129877/color/779186,Marinda,Heels,Calvin Klein
f01cd633-c26a-45ce-a13b-955eac7fbbf9,https://www.zappos.com//p/hunter-kids-original-metallic-rain-boot-toddler-little-kid-silver/product/8993027/color/632,Original Metallic Rain Boot (Toddler/Little Kid),Boots,Hunter Kids
80ed8488-a9bf-4472-8f09-1f074d14408f,https://www.zappos.com//p/etnies-barge-ls-black-grey-black/product/7846799/color/4464,Barge LS,Sneakers & Athletic Shoes,etnies
b0d04a6d-d84f-4715-9141-128a6459c1d5,https://www.zappos.com//p/yellow-box-veraneese-clear/product/9117464/color/303,Veraneese,Heels,Yellow Box
5ec85903-837f-4753-b472-51bb3e0d5482,https://www.zappos.com//p/kristin-cavallari-layton-peep-toe-bootie-black-kid-suede/product/9030977/color/1072,Layton Peep Toe Bootie,Boots,Kristin Cavallari
a8da0176-d545-43f4-b785-668f15371873,https://www.zappos.com//p/pikolinos-fuencarral-15a-6175-cuero-leather/product/7553944/color/212764,Fuencarral 15A-6175,Loafers,Pikolinos
cd3ad2ff-b6c9-4118-9eb3-b570153fc80b,https://www.zappos.com//p/yellow-box-veraneese-navy/product/9117464/color/9,Veraneese,Heels,Yellow Box
d7a0a9b1-4a39-4792-bdef-213e4a4a6c72,https://www.zappos.com//p/sorel-emelie-lace-premium-black/product/8894394/color/3,Emelie Lace Premium,Boots,SOREL
ca743bc0-1a2b-488c-9cc4-975cc1e3e35a,https://www.zappos.com//p/sorel-emelie-1964-black/product/8894396/color/3,Emelie 1964,Boots,SOREL
be0f8228-6a20-4b89-a404-d09cff0e220f,https://www.zappos.com//p/bernie-mev-zigzag-black/product/8606266/color/3,Zigzag,Boots,bernie mev.
4d782b01-37f4-42ac-8e23-d0c5f77d9ee2,https://www.zappos.com//p/bernie-mev-zigzag-bronze/product/8606266/color/200,Zigzag,Boots,bernie mev.
875348d7-d2fe-434c-851a-62dc55c99036,https://www.zappos.com//p/vionic-mason-dark-grey/product/8926631/color/4854,Mason,Loafers,VIONIC
1239cc7d-5dfb-4568-ab33-5a9b13d8224b,https://www.zappos.com//p/new-balance-896v2-royal-royal/product/8998416/color/19069,896v2,Sneakers & Athletic Shoes,New Balance
466a0d57-3c5e-44db-8251-4c32327dce0f,https://www.zappos.com//p/cole-haan-hartsfield-cap-british-tan/product/9098899/color/983,Hartsfield Cap,Oxfords,Cole Haan
c8c819bd-941e-4d34-bce2-e5eac4d20e45,https://www.zappos.com//p/georgia-boot-romeo-wedge-soggy-brown/product/8606374/color/13437,Romeo Wedge,Boots,Georgia Boot
a3613ab7-e5fe-4b9a-9646-199a38e24475,https://www.zappos.com//p/timberland-pro-powertrain-soft-toe-sd-black-synthetic/product/8773696/color/973,Powertrain Soft Toe SD+,Sneakers & Athletic Shoes,Timberland PRO
bf7f416f-1a87-4ab0-acf9-4216044f26b9,https://www.zappos.com//p/patricia-green-diana-black/product/8052687/color/3,Diana,Slippers,Patricia Green
8c080ef0-12fb-4868-ac0f-cc6dda90c97b,https://www.zappos.com//p/superga-2750-fantasycotlinenw-sneaker-white-multi/product/9028333/color/2927,2750 Fantasycotlinenw Sneaker,Sneakers & Athletic Shoes,Superga
46b13741-776a-455c-b7d6-6c7e5c5e6c53,https://www.zappos.com//p/vionic-adler-chestnut/product/8926653/color/278,Adler,Slippers,VIONIC
e8d53deb-58e6-4d12-82d4-04654dd1db78,https://www.zappos.com//p/ariat-spitfire-vintage-bomber/product/9087443/color/472345,Spitfire,Boots,Ariat
2ae04857-447d-4bf3-af16-ee062fad22b2,https://www.zappos.com//p/mark-nason-beechwood-black/product/9098945/color/3,Beechwood,Sneakers & Athletic Shoes,Mark Nason
7b135197-c211-41d8-8a3d-baabd18fe7ff,https://www.zappos.com//p/skechers-classic-fit-superior-2-0-vorado-brown/product/9028452/color/6,Classic Fit Superior 2.0 - Vorado,Loafers,SKECHERS
bcd22ff9-bbb6-4311-ba78-dd909a61bddf,https://www.zappos.com//p/cc-corso-como-blaine-moon-worn-leather/product/9028485/color/742823,Blaine,Flats,CC Corso Como
fdfa6fa0-f221-4d75-b194-0eb0451bdcd5,https://www.zappos.com//p/asics-gel-fit-sana-3-white-begonia-pink-glacier-grey/product/8802254/color/719438,Gel-Fit Sana 3,Sneakers & Athletic Shoes,ASICS
